dataset,robot_type,embodiment_type,data_type,task,data_id,directory,obj_pos_err,obj_quat_err,obj_pos_err_right,obj_pos_err_left,obj_quat_err_right,obj_quat_err_left,success,pos_err_threshold,quat_err_threshold
oakink,ability,bimanual,mjwp_act,uncap_alcohol_burner,3,uncap_alcohol_burner/3,0.0342058682099101,0.2058998792369232,0.0342058682099101,0.027459427731925962,0.2058998792369232,1.2078527486467732,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,uncap_alcohol_burner,4,uncap_alcohol_burner/4,0.014174243853749617,0.17036518602212858,0.014174243853749617,0.028774274734540646,0.17036518602212858,1.3350493198751425,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,uncap_alcohol_burner,1,uncap_alcohol_burner/1,0.027241286501356477,0.1666958494891015,0.027241286501356477,0.02373250539204574,0.1666958494891015,0.41845193043402773,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,uncap_alcohol_burner,0,uncap_alcohol_burner/0,0.06306334866823217,0.30308972583830673,0.06306334866823217,0.02692403696819989,0.30308972583830673,0.2745315757219207,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,uncap_alcohol_burner,2,uncap_alcohol_burner/2,0.02298420393571399,0.23982041692894937,0.02298420393571399,0.04611162360759475,0.23982041692894937,1.2060178457564648,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,stir_beaker,3,stir_beaker/3,0.06543105150800531,1.3813236663323638,0.09586086539281535,0.035001237623195264,2.6870294913314683,0.07561784133325954,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,stir_beaker,4,stir_beaker/4,0.05452474259011648,1.3690832391793368,0.09990419013219119,0.009145295048041763,2.6869119701590196,0.051254508199654054,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,stir_beaker,1,stir_beaker/1,0.05356842582422581,1.1115095067181562,0.0907118637128261,0.01642498793562552,2.137278711762076,0.08574030167423632,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,stir_beaker,0,stir_beaker/0,0.06388265769417441,1.3470751934043583,0.10083940164749204,0.026925913740856768,2.4376018133243758,0.25654857348434096,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,stir_beaker,2,stir_beaker/2,0.06183387323840072,1.2692044531626532,0.09562215984262948,0.028045586634171966,2.4639702815586713,0.07443862476663507,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,unplug,3,unplug/3,0.04752063886358079,0.27341974551438863,0.07125273240927942,0.023788545317882156,0.39589335910598933,0.15094613192278789,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,unplug,4,unplug/4,0.04526001288383021,0.3600856383320862,0.07265684980324581,0.017863175964414613,0.597147067423568,0.12302420924060432,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,unplug,1,unplug/1,0.014516706467906046,0.19843274715432446,0.017616648729905926,0.011416764205906167,0.23101530846544585,0.1658501858432031,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,unplug,0,unplug/0,0.02945569412204228,0.33151195503964836,0.04484100997361152,0.01407037827047304,0.49514452986741103,0.16787938021188567,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,unplug,2,unplug/2,0.06672657463288693,0.5762298834679773,0.11302658826479682,0.020426561000977055,0.9591086525413282,0.1933511143946266,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,pick_spoon_bowl,3,pick_spoon_bowl/3,0.06624297075862122,0.5621794883835121,0.12104554155834173,0.011440399958900713,1.0449079237043013,0.0794510530627228,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,pick_spoon_bowl,4,pick_spoon_bowl/4,0.07316834808559505,0.7922553060076252,0.1344935801535213,0.01184311601766881,1.497818012278935,0.08669259973631538,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,pick_spoon_bowl,1,pick_spoon_bowl/1,0.0633612548966912,0.5525319108154906,0.12125052021530576,0.005471989578076652,1.0203203341999294,0.08474348743105183,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,pick_spoon_bowl,0,pick_spoon_bowl/0,0.06898018911114137,1.1102926612848607,0.12838935724129907,0.009571020980983665,2.0450914697957203,0.17549385277400104,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,pick_spoon_bowl,2,pick_spoon_bowl/2,0.06779872710525077,0.5731159429736886,0.12551949363897946,0.010077960571522078,1.0522620223055918,0.09396986364178533,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,lift_board,3,lift_board/3,0.06490315305676785,0.07922849958130951,0.06490315305676785,6.119481076818e-06,0.07922849958130951,0.0001370805462854244,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,lift_board,4,lift_board/4,0.07504188820338342,0.1479592845776113,0.07504188820338342,6.119475428564503e-06,0.1479592845776113,0.00013708100457539708,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,lift_board,1,lift_board/1,0.025597367969210603,0.06975876335317924,0.025597367969210603,6.120859179888627e-06,0.06975876335317924,0.00013694462396785444,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,lift_board,0,lift_board/0,0.05496178741123634,0.06740395795772244,0.05496178741123634,6.119474886745312e-06,0.06740395795772244,0.00013708059122771973,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,lift_board,2,lift_board/2,0.03680383965315151,0.06756345560982713,0.03680383965315151,6.119479582694861e-06,0.06756345560982713,0.00013708058482725125,True,0.1,0.5
oakink,ability,bimanual,mjwp_act,pour_tube,3,pour_tube/3,0.02220001819837631,1.4860035450329625,0.023440740633709073,0.020959295763043544,1.115545436690711,1.8564616533752138,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,pour_tube,4,pour_tube/4,0.02011679487652039,1.8753858001165844,0.02343378020343548,0.016799809549605305,1.1156750527048467,2.635096547528322,False,0.1,0.5
oakink,ability,bimanual,mjwp_act,pour_tube,1,pour_tube/1,0.02129717983860567,1.4668928830019756,0.023520232758063555,0.01907412691914779,1.115457960386927,1.8183278056170245,False,0.1,0.5
