dataset,robot_type,embodiment_type,data_type,task,data_id,directory,obj_pos_err,obj_quat_err,obj_pos_err_right,obj_pos_err_left,obj_quat_err_right,obj_quat_err_left,success,pos_err_threshold,quat_err_threshold
oakink,allegro,bimanual,mjwp_act,uncap_alcohol_burner,3,uncap_alcohol_burner/3,0.03386397425930625,0.1258293058997982,0.03386397425930625,0.018481102857771867,0.1258293058997982,0.20189583464656097,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,uncap_alcohol_burner,4,uncap_alcohol_burner/4,0.021127453463063918,0.1563823400632957,0.021127453463063918,0.014892046069839755,0.1563823400632957,0.260121550308272,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,uncap_alcohol_burner,1,uncap_alcohol_burner/1,0.026867301544950973,0.25131981516457136,0.026867301544950973,0.014747935997942814,0.25131981516457136,0.2977444852846854,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,uncap_alcohol_burner,0,uncap_alcohol_burner/0,0.031880620617629744,0.18370751116814352,0.031880620617629744,0.016076228299157766,0.18370751116814352,0.25154422046917657,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,uncap_alcohol_burner,2,uncap_alcohol_burner/2,0.023875863340879086,0.1478315411738809,0.023875863340879086,0.02483129818513828,0.1478315411738809,0.7481426843788879,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,stir_beaker,3,stir_beaker/3,0.03442087834772277,0.4399501621797106,0.043537036183651845,0.025304720511793697,0.7006263254155967,0.17927399894382462,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,stir_beaker,4,stir_beaker/4,0.11504191988059745,0.5985823562256595,0.20222428945009396,0.02785955031110092,1.1049668891121343,0.09219782333918465,False,0.1,0.5
oakink,allegro,bimanual,mjwp_act,stir_beaker,1,stir_beaker/1,0.04555766206159045,0.3524026985276834,0.06693097354049615,0.024184350582684738,0.6419774933785082,0.06282790367685868,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,stir_beaker,0,stir_beaker/0,0.0452410700296903,0.4034239915424881,0.06999351106143945,0.02048862899794116,0.7500962008414424,0.0567517822435338,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,stir_beaker,2,stir_beaker/2,0.04595141090306545,0.3579417800483322,0.06079410586175644,0.031108715944374452,0.6437413074020791,0.07214225269458525,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,unplug,3,unplug/3,0.03697854240842097,0.22830891294216007,0.05946877917043907,0.01448830564640286,0.3591646964582044,0.09745312942611571,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,unplug,4,unplug/4,0.07062333944601719,0.49986097898328563,0.1050163902544731,0.036230288637561274,0.849180414827104,0.15054154313946724,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,unplug,1,unplug/1,0.049971898792461056,0.8294867003469661,0.07516776921699536,0.02477602836792675,1.4980927324941844,0.160880668199748,False,0.1,0.5
oakink,allegro,bimanual,mjwp_act,unplug,0,unplug/0,0.02092903679603095,0.36936655341139807,0.034877307996186165,0.006980765595875735,0.5999772386181703,0.13875586820462585,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,unplug,2,unplug/2,0.04653121769231796,0.28882448840908276,0.0701649253442306,0.022897510040405314,0.44649852414534574,0.13115045267281975,True,0.1,0.5
oakink,allegro,bimanual,mjwp_act,pick_spoon_bowl,3,pick_spoon_bowl/3,0.0384192825007159,1.3096721201968664,0.05824773667440449,0.018590828327027298,2.570306641344161,0.04903759904957204,False,0.1,0.5
oakink,allegro,bimanual,mjwp_act,pick_spoon_bowl,4,pick_spoon_bowl/4,0.031814105685583106,1.3063392244884149,0.04649822541749897,0.017129985953667246,2.5557576858259434,0.05692076315088638,False,0.1,0.5
oakink,allegro,bimanual,mjwp_act,pick_spoon_bowl,1,pick_spoon_bowl/1,0.027013826165009948,1.1535033190112458,0.03780260077834308,0.016225051551676813,2.192796172939834,0.11421046508265759,False,0.1,0.5
